id,category_id,name,price,calories,is_vegetarian,is_spicy,is_featured,is_available,preparation_time_minutes,description,allergens,tags,image_url,created_at,updated_at
11,2,Grilled Chicken Wrap,8.99,450,False,False,False,True,8,"Grilled chicken, romaine, tomato, and ranch in a flour tortilla","[""gluten"",""dairy""]","[""healthy"",""chicken"",""wrap""]",/images/products/grilled_chicken_wrap.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
12,2,Buffalo Wings 6pc,10.99,520,False,True,True,True,15,Slow-cooked wings tossed in our signature buffalo sauce,"[""dairy""]","[""spicy"",""wings"",""buffalo"",""sharing""]",/images/products/buffalo_wings_6pc.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
13,2,Buffalo Wings 12pc,18.99,1040,False,True,False,True,18,Double up on our fan-favorite buffalo wings,"[""dairy""]","[""spicy"",""wings"",""sharing"",""party""]",/images/products/buffalo_wings_12pc.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
14,2,Nashville Hot Tenders,9.49,440,False,True,False,True,10,Tenders tossed in fiery Nashville hot spice blend,"[""gluten"",""egg""]","[""spicy"",""chicken"",""nashville""]",/images/products/nashville_hot_tenders.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
15,3,Classic Fries Small,2.99,230,True,False,False,True,5,Golden crispy fries lightly salted,"[""gluten""]","[""vegetarian"",""vegan"",""side""]",/images/products/classic_fries_small.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
16,3,Classic Fries Medium,3.99,340,True,False,True,True,5,Golden crispy fries lightly salted,"[""gluten""]","[""vegetarian"",""bestseller"",""side""]",/images/products/classic_fries_medium.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
17,3,Classic Fries Large,4.99,450,True,False,False,True,5,Golden crispy fries lightly salted,"[""gluten""]","[""vegetarian"",""vegan"",""side""]",/images/products/classic_fries_large.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
18,3,Loaded Cheese Fries,5.99,580,True,False,True,True,7,"Fries topped with nacho cheese, jalapenos, and sour cream","[""gluten"",""dairy""]","[""vegetarian"",""cheesy"",""indulgent"",""side""]",/images/products/loaded_cheese_fries.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
19,3,Onion Rings,4.49,380,True,False,False,True,7,Beer-battered onion rings with smoky dipping sauce,"[""gluten""]","[""vegetarian"",""side"",""crispy""]",/images/products/onion_rings.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
20,3,Coleslaw,2.49,150,True,False,False,True,2,Creamy classic coleslaw with apple cider vinegar,"[""egg""]","[""vegetarian"",""side"",""fresh""]",/images/products/coleslaw.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
21,3,Side Salad,3.99,120,True,False,False,True,3,Fresh mixed greens with cherry tomatoes and cucumber,[],"[""vegetarian"",""vegan"",""healthy"",""side""]",/images/products/side_salad.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
22,4,Cola Small,1.99,150,True,False,False,True,1,Ice-cold refreshing cola,[],"[""drink"",""cold"",""classic""]",/images/products/cola_small.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
23,4,Cola Medium,2.49,200,True,False,False,True,1,Ice-cold refreshing cola,[],"[""drink"",""cold"",""classic""]",/images/products/cola_medium.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
24,4,Cola Large,2.99,250,True,False,False,True,1,Ice-cold refreshing cola,[],"[""drink"",""cold"",""classic""]",/images/products/cola_large.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
25,4,Fresh Lemonade,2.99,180,True,False,True,True,2,Freshly squeezed lemonade with a hint of mint,[],"[""drink"",""cold"",""fresh"",""bestseller""]",/images/products/fresh_lemonade.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
26,4,Orange Juice,3.49,160,True,False,False,True,1,Freshly pressed orange juice,[],"[""drink"",""fresh"",""breakfast""]",/images/products/orange_juice.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
27,4,Vanilla Milkshake,4.99,520,True,False,True,True,3,Thick and creamy vanilla bean milkshake,"[""dairy""]","[""dessert"",""drink"",""milkshake"",""bestseller""]",/images/products/vanilla_milkshake.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
28,4,Chocolate Milkshake,4.99,560,True,False,False,True,3,Rich Belgian chocolate milkshake,"[""dairy""]","[""dessert"",""drink"",""milkshake""]",/images/products/chocolate_milkshake.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
29,4,Strawberry Milkshake,4.99,490,True,False,False,True,3,Fresh strawberry milkshake made with real berries,"[""dairy""]","[""dessert"",""drink"",""milkshake""]",/images/products/strawberry_milkshake.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
30,4,Iced Coffee,3.49,120,True,False,False,True,2,Cold brew over ice with oat milk,[],"[""drink"",""coffee"",""cold""]",/images/products/iced_coffee.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
31,5,Classic Sundae,3.99,380,True,False,True,True,2,Vanilla soft serve with chocolate fudge and whipped cream,"[""dairy"",""egg""]","[""dessert"",""sweet"",""bestseller""]",/images/products/classic_sundae.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
32,5,Chocolate Brownie,3.49,420,True,False,False,True,1,Warm fudgy chocolate brownie with vanilla ice cream,"[""gluten"",""dairy"",""egg"",""nuts""]","[""dessert"",""chocolate"",""sweet""]",/images/products/chocolate_brownie.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
33,5,Apple Pie Slice,2.99,310,True,False,False,True,1,Flaky pastry with spiced apple filling,"[""gluten"",""dairy""]","[""dessert"",""classic"",""sweet""]",/images/products/apple_pie_slice.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
34,5,Churros 4pc,4.49,390,True,False,False,True,4,Crispy cinnamon churros with chocolate dipping sauce,"[""gluten"",""egg""]","[""dessert"",""sweet"",""sharing""]",/images/products/churros_4pc.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
35,5,Mini Donuts 6pc,4.99,440,True,False,False,True,4,Freshly fried mini donuts with powdered sugar,"[""gluten"",""dairy"",""egg""]","[""dessert"",""sweet"",""sharing""]",/images/products/mini_donuts_6pc.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
36,6,Breakfast Burger,7.99,580,False,False,False,True,8,"Beef patty, fried egg, cheese, and maple bacon on a toasted bun","[""gluten"",""dairy"",""egg"",""pork""]","[""breakfast"",""beef"",""egg""]",/images/products/breakfast_burger.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
37,6,Egg and Cheese Muffin,5.49,380,False,False,False,True,6,Fluffy egg and melted cheese on an English muffin,"[""gluten"",""dairy"",""egg""]","[""breakfast"",""egg"",""classic""]",/images/products/egg_and_cheese_muffin.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
38,6,Pancake Stack 3pc,6.99,520,True,False,True,True,8,Fluffy buttermilk pancakes with maple syrup and butter,"[""gluten"",""dairy"",""egg""]","[""breakfast"",""sweet"",""vegetarian"",""bestseller""]",/images/products/pancake_stack_3pc.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
39,6,Breakfast Burrito,7.49,620,False,False,False,True,8,"Scrambled eggs, cheese, salsa, and chorizo in a flour tortilla","[""gluten"",""dairy"",""egg"",""pork""]","[""breakfast"",""wrap"",""hearty""]",/images/products/breakfast_burrito.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
40,6,Hash Browns 2pc,2.49,220,True,False,False,True,6,Crispy golden hash brown patties,"[""gluten""]","[""breakfast"",""vegetarian"",""side""]",/images/products/hash_browns_2pc.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
41,7,Classic Combo,13.99,980,False,False,True,True,12,Classic Smash Burger + Medium Fries + Cola,"[""gluten"",""dairy"",""egg""]","[""combo"",""value"",""bestseller"",""classic""]",/images/products/classic_combo.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
42,7,Family Feast,45.99,3200,False,False,False,True,20,4 burgers + 4 medium fries + 4 drinks,"[""gluten"",""dairy"",""egg""]","[""combo"",""value"",""sharing"",""family"",""party""]",/images/products/family_feast.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
43,7,Chicken Box,22.99,1600,False,False,True,True,15,6pc Crispy Tenders + Large Fries + 2 Colas,"[""gluten"",""egg""]","[""combo"",""value"",""chicken"",""sharing""]",/images/products/chicken_box.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
44,7,Kids Meal,7.99,580,False,False,False,True,8,Mini burger + small fries + juice box,"[""gluten"",""dairy"",""egg""]","[""combo"",""kids"",""family""]",/images/products/kids_meal.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
45,7,Double Trouble,24.99,1700,False,False,False,True,15,2 Classic Burgers + 2 Medium Fries + 2 Colas,"[""gluten"",""dairy"",""egg""]","[""combo"",""value"",""sharing""]",/images/products/double_trouble.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
46,8,Summer BBQ Special,13.99,880,False,False,True,True,10,BBQ pulled pork burger with watermelon slaw - summer only,"[""gluten"",""dairy"",""pork""]","[""seasonal"",""summer"",""bbq"",""limited""]",/images/products/summer_bbq_special.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
47,8,Holiday Turkey Burger,12.99,650,False,False,False,True,10,Herb turkey patty with cranberry sauce - winter special,"[""gluten"",""dairy""]","[""seasonal"",""winter"",""holiday"",""limited""]",/images/products/holiday_turkey_burger.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
48,8,Pumpkin Spice Shake,5.49,480,True,False,True,True,3,Limited fall seasonal pumpkin spice milkshake,"[""dairy""]","[""seasonal"",""fall"",""milkshake"",""limited""]",/images/products/pumpkin_spice_shake.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
49,8,Valentine Heart Brownie,5.99,450,True,False,False,True,4,Heart-shaped chocolate brownie box for two,"[""gluten"",""dairy"",""egg"",""nuts""]","[""seasonal"",""valentine"",""dessert"",""limited""]",/images/products/valentine_heart_brownie.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
50,9,Caesar Salad,8.99,320,True,False,False,True,5,"Crisp romaine, parmesan, croutons, and house Caesar dressing","[""gluten"",""dairy"",""egg"",""fish""]","[""salad"",""healthy"",""classic""]",/images/products/caesar_salad.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
51,9,Grilled Chicken Salad,11.99,420,False,False,True,True,8,Grilled chicken over mixed greens with balsamic vinaigrette,[],"[""salad"",""healthy"",""chicken"",""bestseller""]",/images/products/grilled_chicken_salad.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
52,9,Southwest Salad,10.49,480,True,False,True,True,5,"Black beans, corn, avocado, and tortilla strips on romaine","[""gluten""]","[""salad"",""healthy"",""vegetarian"",""spicy""]",/images/products/southwest_salad.jpg,2023-04-30 00:00:00,2023-05-15 00:00:00
